""	"symbol"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"de"
"TC1000003026.mm.1"	"Mir763"	0.646270137841569	0.25455314058941	1.03798713509373	4.49135863762232	3.9486976915172	0.00622059425939263	0.0157088443769187	-2.70744618227548	"up"
"TC1100002892.mm.1"	"Gm12620"	0.596310386600059	0.234872107580221	0.957748665619898	3.62927542900116	3.94866637849558	0.00622083377497377	0.0157088443769187	-2.70748789278331	"up"
"TC0700001335.mm.1"	"Mir6394"	0.652565812906214	0.257013496194534	1.0481181296179	4.4458504032857	3.94850415196333	0.00622207482002904	0.0157105227762419	-2.70770398888143	"up"
"TC1100001521.mm.1"	"Mir152"	0.596520975554421	0.234914991961025	0.958126959147817	3.23514182194287	3.94822891511987	0.00622418102571564	0.0157114745525033	-2.70807063059344	"up"
"TC0X00003230.mm.1"	"Magea8"	0.545735277442614	0.214879616243058	0.87659093864217	1.84033571619005	3.94780480952396	0.00622742796168477	0.0157183079022826	-2.70863560101633	"up"
"TC0900002461.mm.1"	"Gm20346"	0.586119909992694	0.230780362728082	0.941459457257306	5.86133196927562	3.94780000407495	0.006227464762694	0.0157183079022826	-2.7086420027226	"up"
"TC0300001227.mm.1"	"Gm19496"	0.826745503580807	0.325519975983515	1.3279710311781	2.62178272121467	3.94776119269111	0.00622776199615738	0.0157183303605965	-2.70869370645818	"up"
"TC1700000788.mm.1"	"Gm18737"	0.561815436930067	0.221172234236158	0.902458639623975	3.04735843379887	3.94735471394751	0.00623087591490988	0.0157254615567314	-2.70923522218983	"up"
"TC1300002545.mm.1"	"Gm10257"	-0.774575010033307	-1.24428701734964	-0.304863002716973	3.56262473093025	-3.94679012257214	0.00623520393294492	0.0157312864905151	-2.70998741686205	"down"
"TC1100001106.mm.1"	"Tusc5"	-1.29421133859513	-2.07925656500448	-0.509166112185768	5.35914192410282	-3.94568796169304	0.00624366236190891	0.0157469140831174	-2.71145593761796	"down"
"TC1600000774.mm.1"	"4930547E14Rik"	0.621400746608052	0.244466103310416	0.998335389905688	2.9040163984946	3.94564428987547	0.006243997777097	0.0157469140831174	-2.71151412961061	"up"
"TC0500001646.mm.1"	"Mblac1"	0.774424289357235	0.304607089829349	1.24424148888512	3.45407207844024	3.94513862089056	0.00624788294018345	0.0157542901621416	-2.71218794535814	"up"
"TC0900000869.mm.1"	"Gm15563; RP24-407J14.1"	0.634448082957687	0.249541587548693	1.01935457836668	1.73031707543699	3.94505500672724	0.00624852562196988	0.0157542901621416	-2.71229936672989	"up"
"TC1900001360.mm.1"	"Dkk1"	0.620454800183513	0.243901063386298	0.997008536980728	2.92938341165782	3.94362308939504	0.00625954303592722	0.0157715256544896	-2.71420764681266	"up"
