""	"symbol"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"de"
"TC0200002526.mm.1"	"Wfdc10"	0.488022711388031	0.0919432184346647	0.884102204341397	3.5281538154818	2.94896684412673	0.0229088713911714	0.0411186031548242	-4.10385563958587	"no_sig"
"TC0300002467.mm.1"	"Tnfaip8l2"	0.455186905977545	0.0855707007260025	0.824803111229088	3.93686615478086	2.94748070109457	0.0229557117408775	0.0411904700254171	-4.10601074229768	"no_sig"
"TC0700001913.mm.1"	"Htra1"	-0.289355357056363	-0.524384321574605	-0.0543263925381211	3.88285223316398	-2.9466079320058	0.0229832673339454	0.0412343638182017	-4.10727644730232	"no_sig"
"TC0500001662.mm.1"	"A430033K04Rik"	0.337048079579758	0.0632624037100746	0.610833755449441	2.83307022030977	2.94641114042561	0.0229894854295036	0.0412415693268382	-4.10756184556316	"no_sig"
"TC0300000181.mm.1"	"Eif5a2"	-0.524204110005618	-0.950055539416296	-0.0983526805949392	4.12611835049665	-2.94614776985232	0.0229978100535151	0.0412524305635656	-4.10794380485023	"down"
"TC0600002728.mm.1"	"Chchd4"	0.572583962408646	0.107374592933608	1.03779333188368	2.48791293991955	2.94579784577585	0.0230088754366959	0.0412684960646879	-4.10845129817161	"up"
"TC0X00000305.mm.1"	"Btbd35f8"	0.413243368274032	0.0774721130060843	0.74901462354198	2.17480448571913	2.94560556772861	0.0230149581164634	0.041276399090699	-4.10873016195338	"no_sig"
"TC0500001860.mm.1"	"Fry"	-0.317157545549168	-0.57490604140987	-0.0594090496884673	3.58002304533514	-2.94503948762465	0.0230328759127536	0.0413031579481154	-4.10955117215219	"no_sig"
"TC1900001217.mm.1"	"Gcnt1"	0.293303644324282	0.0549092314390666	0.531698057209496	2.1036745768653	2.94464944242636	0.0230452304375437	0.0413170983382311	-4.11011688493483	"no_sig"
"TC0400002732.mm.1"	"Txndc8"	0.410070329539321	0.0766748735625526	0.74346578551609	1.88323110520038	2.94381751231584	0.0230716051077584	0.0413575837967952	-4.11132353452371	"no_sig"
"TC1000002148.mm.1"	"Gprc6a"	0.263916928945032	0.0492336062370563	0.478600251653007	1.43471259299093	2.94226072203777	0.0231210465293111	0.0414393980306045	-4.11358167174372	"no_sig"
"TC1900001705.mm.1"	"Dclre1a"	0.26967207257073	0.0500618791229478	0.489282266018512	2.19261017815849	2.93897364795689	0.0232258107753201	0.0416011778743486	-4.11835017427338	"no_sig"
"TC1300000565.mm.1"	"Ecm2"	-0.49910039624749	-0.905640284235814	-0.0925605082591656	2.03730958178257	-2.93830561522898	0.0232471638524707	0.0416298498867875	-4.11931937296064	"no_sig"
"TC1500000975.mm.1"	"Olfr281"	0.527221079756989	0.0977001484229235	0.956742011091055	3.05478235981865	2.9377893166591	0.0232636812198713	0.0416539551343382	-4.12006845382584	"up"
"TC1300000908.mm.1"	"Pcsk1"	0.381725349753677	0.0707067319613157	0.692743967546037	1.67140390595558	2.93749291840838	0.0232731692131583	0.0416682063349353	-4.12049849706697	"no_sig"
"TC0200005175.mm.1"	"Prex1"	0.268868276593106	0.0497627412346182	0.487973811951593	4.11974145101278	2.93696267706338	0.0232901530420931	0.0416903987304349	-4.12126783815745	"no_sig"
"TC0X00000065.mm.1"	"Praf2"	-0.388782139868329	-0.705687036212087	-0.0718772435245721	4.59100329496318	-2.93622660912302	0.0233137514796982	0.0417271602916891	-4.12233585176423	"no_sig"
"TC1500001023.mm.1"	"Gpd1"	-0.406363807715452	-0.737616661777081	-0.0751109536538228	4.5422389855123	-2.93607811478607	0.023318515317412	0.0417343164257985	-4.12255131750468	"no_sig"
"TC0200004463.mm.1"	"Zfp106"	-0.263158131924301	-0.477744364691944	-0.0485718991566594	2.96753772392575	-2.93512872665829	0.0233489971160637	0.0417765271361788	-4.12392891976649	"no_sig"
"TC0900002212.mm.1"	"Tagln"	-0.816123812142664	-1.48164899339009	-0.15059863089524	3.7281211194114	-2.93497070474907	0.0233540748132516	0.0417842408470773	-4.12415822246347	"down"
"TC0200004248.mm.1"	"Pin1rt1"	0.460252602179408	0.0849251376073821	0.835580066751435	2.1125194216929	2.93493252497386	0.0233553018154898	0.0417850647577817	-4.12421362470236	"no_sig"
"TC0900003337.mm.1"	"Ip6k1"	-0.312481970795087	-0.567338292625971	-0.0576256489642032	4.47737016255383	-2.93455171675241	0.023367543798417	0.0418028511346735	-4.12476621687208	"no_sig"
"TC0700003957.mm.1"	"Olfr666"	0.496039804190026	0.0914604146411365	0.900619193738916	2.05214198119026	2.93443832573328	0.0233711903429805	0.0418075166272041	-4.1249307609781	"no_sig"
"TC1900001089.mm.1"	"Incenp"	0.351583110252969	0.0647972013072451	0.638369019198693	3.2565314575941	2.93415065201424	0.0233804443710162	0.0418135799633088	-4.12534821449792	"no_sig"
"TC0500001443.mm.1"	"Kmt5a"	-0.335304105619107	-0.608818426015379	-0.0617897852228355	4.659905006167	-2.93407367689909	0.0233829212062772	0.0418166376878587	-4.12545991681071	"no_sig"
"TC0700000763.mm.1"	"Vsig10l"	0.329088998506324	0.0606068036564519	0.597571193356197	4.00767653188375	2.93366208535519	0.0233961697716641	0.0418362133088138	-4.1260572043516	"no_sig"
"TC0400003085.mm.1"	"Cyp2j13"	0.279338728243794	0.0513948701642187	0.50728258632337	1.98693650460284	2.93302301265454	0.0234167565017967	0.0418647863026022	-4.12698462858422	"no_sig"
"TC1900000137.mm.1"	"2700081O15Rik"	0.298748454350904	0.0549492831436008	0.542547625558208	4.72834129314067	2.93282166442343	0.0234232466203255	0.0418747152509557	-4.1272768317467	"no_sig"
"TC0700004287.mm.1"	"Il27"	0.313217999862921	0.057564087097872	0.56887191262797	3.5693507264473	2.93228704443357	0.0234404884941454	0.0418989700888531	-4.12805270376758	"no_sig"
"TC0X00002236.mm.1"	"Fam122b"	0.276459466233314	0.0507786881609626	0.502140244305665	1.43769937844467	2.93189969504353	0.0234529892377443	0.0419144430156507	-4.12861486066399	"no_sig"
"TC1100000327.mm.1"	"Nsg2"	0.411806425521578	0.0755181420168163	0.748094709026339	2.18429596430829	2.93085002629494	0.0234869004310609	0.0419654175712506	-4.13013828938638	"no_sig"
"TC0100003538.mm.1"	"Ufc1"	0.329473311782138	0.0603241598506059	0.598622463713669	2.42272164484785	2.9298098799519	0.0235205555428244	0.0420145345324573	-4.13164797457445	"no_sig"
"TC0X00001425.mm.1"	"Rtl4"	0.302247580424169	0.0553239706584402	0.549171190189897	1.51158056141794	2.92962767252054	0.0235264563588371	0.0420223211646673	-4.13191244123124	"no_sig"
"TC0700002854.mm.1"	"Nudt19"	0.28757728767894	0.0526343266789005	0.522520248678979	2.19604548312787	2.92957323358853	0.0235282196782119	0.0420240938218945	-4.13199145757491	"no_sig"
"TC1100000223.mm.1"	"Tmem17"	0.378684169935024	0.0692700457900876	0.68809829407996	2.15947701155517	2.92920137854039	0.0235402681201591	0.0420414813360749	-4.13253119869368	"no_sig"
"TC1200002092.mm.1"	"Acyp1"	0.315014945037217	0.0576000017094414	0.572429888364993	2.53313705110308	2.92893421283255	0.0235489285912489	0.0420533840266745	-4.13291899106755	"no_sig"
"TC1000003044.mm.1"	"Tbc1d30"	0.372908293095707	0.0681578666363893	0.677658719555024	3.44776947140103	2.92866659301134	0.0235576071871905	0.0420641794367016	-4.13330744762204	"no_sig"
